Date,Open,High,Low,Close,Volume
2024-06-10,77900,79700,77400,78400,679182
2024-06-11,79200,79900,78400,78400,753820
2024-06-12,77700,79400,77200,79100,694678
2024-06-13,80300,81900,80100,81000,2214075
2024-06-14,80400,81300,79500,80900,1578329
2024-06-17,79600,80500,78000,78300,955490
2024-06-18,79000,79300,77300,77400,1034489
2024-06-19,77800,78900,77500,78900,666484
2024-06-20,78800,81100,78600,80800,804224
2024-06-21,80000,80900,78600,78600,2545856
2024-06-24,78900,80500,78800,80000,1039625
2024-06-25,80600,80600,78800,79000,1164822
2024-06-26,78300,79500,77200,78900,1037746
2024-06-27,78200,79000,77300,78500,786044
2024-06-28,79300,79900,78200,78500,1017673
2024-07-01,79600,80000,78700,79600,816331
2024-07-02,79900,85000,79300,83200,3164153
2024-07-03,84300,88900,83600,84400,2271584
2024-07-04,83700,88300,83000,85900,1718537
2024-07-05,87300,90000,86600,88200,1333089
2024-07-08,88200,88700,86900,86900,777731
2024-07-09,86000,87100,83000,85200,1492712
2024-07-10,85500,85700,83600,83600,1479668
2024-07-11,84500,86300,84500,85400,1583831
2024-07-12,85700,87800,85400,87000,1301388
2024-07-15,87100,87100,84700,85700,991529
2024-07-16,85300,86200,83900,84100,1271447
2024-07-17,84300,84900,83500,84100,1098955
2024-07-18,84000,84600,83300,84400,1037570
2024-07-19,83100,85500,82500,84800,850800
2024-07-22,84400,87000,83800,86500,1319996
2024-07-23,87200,89600,86200,88300,1398881
2024-07-24,89400,90500,84400,84600,2808718
2024-07-25,84300,85500,83500,84000,1451918
2024-07-26,85100,88800,84900,87900,2209948
2024-07-29,87900,92400,87600,90800,1806488
2024-07-30,89900,90300,89000,89300,781624
2024-07-31,89000,89800,86800,87900,1370202
2024-08-01,87900,89700,87500,88300,806043
2024-08-02,85800,86100,82700,83200,2370247
2024-08-05,77400,81000,74000,76800,3229646
2024-08-06,80700,81500,78300,79500,2202223
2024-08-07,78000,82600,77500,81600,1436105
2024-08-08,81100,82900,80300,82200,1242772
2024-08-09,81600,83000,80600,81900,1297096
2024-08-12,82300,82800,81700,82500,683989
2024-08-13,82500,85400,82100,84600,784938
2024-08-14,84800,85600,84000,84400,595092
2024-08-16,85700,86100,84000,84000,899404
2024-08-19,84200,87900,84100,87000,1260645
2024-08-20,88300,90000,87500,89900,1093077
2024-08-21,89600,89600,86900,87200,873607
2024-08-22,86800,87400,85500,86500,998023
2024-08-23,86200,87400,84600,86800,1160977
2024-08-26,86800,88700,86600,88500,891857
2024-08-27,88900,89100,86700,87800,930644
2024-08-28,87100,87600,85000,85800,878160
2024-08-29,86600,88200,85600,86900,849901
2024-08-30,88000,88000,85800,85900,1403895
2024-09-02,86200,88300,84800,87700,916239
2024-09-03,87500,88100,86300,87000,755608
2024-09-04,87400,87400,83600,83600,1306948
2024-09-05,85900,86000,83500,84600,987121
2024-09-06,84000,84400,82500,83300,707380
2024-09-09,83300,83800,80900,82300,1158796
2024-09-10,82700,83100,81300,82900,763767
2024-09-11,84000,84000,76500,77900,2282558
2024-09-12,77900,78400,77300,78100,1757830
2024-09-13,79000,81800,79000,81800,1322846
2024-09-19,85800,85900,81100,82500,1614329
2024-09-20,83700,84200,83100,83600,1677519
2024-09-23,84600,85100,83500,85000,969396
2024-09-24,85300,85600,80100,82000,1978745
2024-09-25,80200,80400,77800,78100,3427154
2024-09-26,78700,81200,78500,81200,2264928
2024-09-27,83100,85200,82700,83800,2341375
2024-09-30,84900,85000,80900,80900,1467861
2024-10-02,80100,82900,80000,81300,2027234
2024-10-04,82000,82800,80100,82600,2403619
2024-10-07,83000,87900,82300,87300,1986369
2024-10-08,86500,89400,85900,89400,1795315
2024-10-10,89000,89900,87900,89900,1591581
2024-10-11,89900,91600,89500,91300,1111764
2024-10-14,92500,98500,92000,97200,2152870
2024-10-15,96000,97300,94700,95600,1444714
2024-10-16,94000,96900,93800,95400,1271538
2024-10-17,96600,96900,93400,93700,1131737
2024-10-18,93000,95100,93000,94400,989872
2024-10-21,94400,95500,93200,93500,720873
2024-10-22,94000,94300,92000,94100,1286275
2024-10-23,93200,97100,93000,94300,1230148
2024-10-24,93800,94800,92800,93200,1385779
2024-10-25,96000,103900,96000,101000,2817885
2024-10-28,99400,100000,95100,96200,1705566
2024-10-29,95100,96800,95000,95500,1179880
2024-10-30,94300,95000,93200,93900,1562965
2024-10-31,92900,93500,90300,90300,1782221
2024-11-01,90000,92100,89300,91800,1326034
2024-11-04,90800,91400,89400,90700,1504567
2024-11-05,90700,91600,89600,91000,697055
2024-11-06,91500,94600,90100,94000,1428650
2024-11-07,94900,95900,93400,94100,1231416
2024-11-08,93900,94000,92000,93200,728843
2024-11-11,91200,93300,90900,92700,566036
2024-11-12,93000,94700,91700,92700,1169111
2024-11-13,93000,93100,90500,91000,936983
2024-11-14,93000,93000,89500,89900,1354571
2024-11-15,90400,90800,88300,89600,892333
2024-11-18,88100,91500,87800,91500,1229857
2024-11-19,91500,92500,90800,91600,1171217
2024-11-20,93500,96100,92600,95600,1580374
2024-11-21,96100,97800,94300,97300,1412784
2024-11-22,98000,99100,97900,98400,1191767
2024-11-25,99000,99200,97100,98000,2293010
2024-11-26,96400,97100,94700,96000,947603
2024-11-27,98800,100500,96900,98700,1155849
2024-11-28,98000,98600,97000,98000,738242
2024-11-29,96000,97200,95000,96200,1318240
2024-12-02,96800,97200,95900,96400,719699
