Date,Open,High,Low,Close,Volume
2024-09-27,42700,53900,32300,35400,15198884
2024-09-30,36000,38750,33300,33300,7054822
2024-10-02,32100,35250,30650,34100,11044329
2024-10-04,32650,34950,31700,34500,8803874
2024-10-07,34700,39600,34100,36950,13761885
2024-10-08,36950,41500,36600,40750,12376968
2024-10-10,41950,46200,40350,41100,14643515
2024-10-11,41500,43450,40350,41100,5821104
2024-10-14,41450,44300,40600,44050,6374430
2024-10-15,45000,46350,44250,45350,6367218
2024-10-16,43700,49250,43000,47300,8880278
2024-10-17,44700,45750,41000,42200,9364715
2024-10-18,43350,44250,39700,39700,7188260
2024-10-21,39850,41500,39400,39400,2597524
2024-10-22,39400,39650,36750,36900,3127826
2024-10-23,36900,42300,35150,42300,5838845
2024-10-24,41150,44300,40700,43200,5892709
2024-10-25,43350,44600,42350,43250,3282009
2024-10-28,43300,45250,43100,44100,3326164
2024-10-29,44300,49550,43950,48200,9656985
2024-10-30,47100,47600,44650,44950,5007634
2024-10-31,45200,46200,42300,42300,3500391
2024-11-01,41100,44400,40500,43050,3049421
2024-11-04,43550,44650,42300,43100,1694813
2024-11-05,43100,45300,42550,44100,2763757
2024-11-06,44500,45150,39950,39950,3197202
2024-11-07,40700,42550,38650,42000,2597905
2024-11-08,42800,45500,42250,45450,4355514
2024-11-11,44800,45550,42450,43700,2692594
2024-11-12,43400,44750,41600,41900,2566967
2024-11-13,42300,43150,38500,38550,2014607
2024-11-14,38700,40000,36600,36700,2099101
2024-11-15,36000,40700,36000,39400,2950037
2024-11-18,39800,41200,38700,39550,1601076
2024-11-19,39550,39550,37100,37450,1345656
2024-11-20,38350,40000,37200,39500,1349797
2024-11-21,38600,39100,37300,37300,1124965
2024-11-22,37900,40350,37750,39200,1365873
2024-11-25,39300,40000,38350,39150,972563
2024-11-26,38750,39000,37000,37150,1132350
2024-11-27,36900,37400,33900,34450,2534593
2024-11-28,34150,35400,34000,34750,854171
2024-11-29,34600,35050,32500,33400,1574523
2024-12-02,33650,34100,32300,33050,1108881
2024-12-03,32900,35000,32900,34750,1242232
2024-12-04,33850,35950,33450,35100,1406537
2024-12-05,36000,38150,35650,37000,1757232
2024-12-06,36800,37150,33650,34800,1197566
2024-12-09,33650,34500,31550,31550,1288185
2024-12-10,31950,34850,31950,34400,1068848
2024-12-11,34050,34450,32200,32550,1252505
2024-12-12,33200,34150,32850,34100,1316503
2024-12-13,33700,35900,32800,35500,1326165
2024-12-16,35950,36650,35100,35450,726260
2024-12-17,35850,36700,35100,35200,850131
2024-12-18,35100,35400,33850,34100,581995
2024-12-19,33000,33850,31500,31800,1461292
2024-12-20,32400,32500,28400,28700,2108888
2024-12-23,29100,30100,29050,29550,888310
2024-12-24,29950,31350,29100,30400,984329
2024-12-26,30900,31450,30300,30600,557107
2024-12-27,30150,32100,29700,31150,991359
2024-12-30,30800,32150,30600,31600,451194
2025-01-02,31700,32100,31000,31550,513954
2025-01-03,31750,33250,31700,33050,899567
2025-01-06,33550,34650,31750,31900,1169802
2025-01-07,32400,33500,30950,31200,1781162
2025-01-08,30900,37550,29900,33550,6534725
2025-01-09,33550,35850,33100,33500,2947087
2025-01-10,33650,34200,32600,33450,1158554
2025-01-13,32800,34600,32450,33550,1060761
2025-01-14,33850,36100,33600,35400,2407131
2025-01-15,35200,38650,34850,37850,3589085
2025-01-16,37900,38600,37350,38100,1397526
2025-01-17,38100,38450,37050,37500,841657
2025-01-20,36950,39450,36900,38100,1633128
2025-01-21,37800,37950,33500,34050,3818981
2025-01-22,34000,35600,33950,34550,1908246
2025-01-23,34550,34550,32700,33150,1351510
2025-01-24,33150,34400,33150,34050,1048650
2025-01-31,31900,32500,31400,32250,1234863
2025-02-03,31400,31500,29100,30800,1979282
2025-02-04,31500,32650,30500,31550,1830845
2025-02-05,31800,32000,30450,30650,1175750
2025-02-06,31100,37650,31000,37150,5088622
2025-02-07,36300,40050,35700,39450,4026965
2025-02-10,40000,40800,38000,39250,3028417
2025-02-11,39800,42700,39200,41100,3513829
2025-02-12,40400,42600,40050,41850,2124046
2025-02-13,41700,54400,39750,54400,14585539
2025-02-14,53000,54500,46650,48300,10373258
2025-02-17,48300,54000,47450,51900,7415955
2025-02-18,51700,52400,50400,51800,2670145
2025-02-19,51500,52800,49700,50500,2984177
2025-02-20,50000,50400,46300,47350,2875422
2025-02-21,46800,48750,46000,47250,1660412
2025-02-24,46100,46950,44500,46000,1299506
2025-02-25,45250,47650,44250,47000,1264810
2025-02-26,46600,51800,46500,50000,3877454
2025-02-27,50100,50700,47450,47750,1737708
2025-02-28,45850,48550,44750,47950,1559952
2025-03-04,47000,48750,46800,47350,1033036
2025-03-05,47950,49600,46750,48950,1554338
2025-03-06,49150,51300,48150,48900,1855538
2025-03-07,48050,50600,47300,50500,1603713
2025-03-10,50000,50800,48250,48350,1334180
2025-03-11,45900,49700,45100,49350,1662138
2025-03-12,49500,59100,49150,53900,10904639
2025-03-13,54600,57400,54100,55700,3611629
2025-03-14,55400,64700,55400,62800,10167649
2025-03-17,61500,62600,58700,59100,4175106
2025-03-18,60000,60700,57500,58300,2484774
2025-03-19,58300,59600,57700,58800,1603630
2025-03-20,58300,58500,55100,56100,1747034
2025-03-21,53600,54600,52800,53700,2060926
2025-03-24,54400,55700,53100,53300,1074749
2025-03-25,53900,55700,52500,54800,1230779
2025-03-26,54400,57500,54400,56700,1209486
2025-03-27,55700,59000,54800,58300,1767836
2025-03-28,58100,58400,54000,55800,1209944
2025-03-31,54400,57700,53600,56700,1086989
2025-04-01,58000,58900,55800,56500,996558
2025-04-02,56600,56800,53900,54400,959928
2025-04-03,52900,56600,52100,56200,859210
2025-04-04,55200,56000,50000,51900,1713356
2025-04-07,48600,48800,45400,46400,1662538
2025-04-08,47950,48900,45500,47000,1147813
2025-04-09,45700,46400,43200,44650,1192786
2025-04-10,51600,53200,50200,51700,2184210
2025-04-11,50200,55000,49750,55000,1470077
2025-04-14,56200,56200,54100,54800,749068
2025-04-15,54700,57200,54300,55700,944748
2025-04-16,54100,56700,53500,54100,1035094
2025-04-17,55100,57300,54500,57000,1336929
2025-04-18,57200,59400,53000,56500,2525036
2025-04-21,55600,57600,55400,55900,686239
2025-04-22,55200,56500,52600,53500,1136886
2025-04-23,54500,54700,52000,52600,1271973
2025-04-24,53000,53700,52000,52900,697961
2025-04-25,53400,57200,52400,56200,1575716
2025-04-28,56600,62200,54700,60000,3102738
2025-04-29,57700,60300,56500,59100,1199568
2025-04-30,59100,61200,57300,60200,1116304
2025-05-02,60200,60800,58400,59900,783168
2025-05-07,60000,61200,58200,60200,777836
2025-05-08,61200,64800,60400,63000,1964066
2025-05-09,63000,63100,61600,62700,517909
2025-05-12,61600,61900,59500,60300,808290
2025-05-13,59700,62700,59700,62200,660680
2025-05-14,63500,67200,62900,64000,1714723
2025-05-15,63500,64700,62400,62800,560306
2025-05-16,62000,63100,57600,59500,1795299
2025-05-19,61000,61300,58300,59100,777092
2025-05-20,59800,60800,57800,57900,577537
2025-05-21,58000,58900,57600,58800,480680
2025-05-22,57700,57900,55000,56800,780096
2025-05-23,56800,57500,55900,56700,359621
2025-05-26,56000,56300,53000,55700,1065421
2025-05-27,55700,56500,55400,55600,434169
2025-05-28,57000,57900,52700,53300,1188089
2025-05-29,54500,54600,52800,53800,648500
2025-05-30,53400,53500,50000,52100,743355
2025-06-02,51900,52500,51100,51400,337227
2025-06-04,52100,52600,50500,50800,687605
2025-06-05,50700,53400,50300,52100,832419
2025-06-09,53300,53500,51100,51300,546914
